ITEM:  TIMESTEP
     0
ITEM: NUMBER OF ATOMS
 26040
ITEM: BOX BOUNDS pp pp pp
 -0.29999E+02   0.29999E+02
 -0.29999E+02   0.29999E+02
 -0.69741E+02   0.69741E+02
ITEM: ATOMS id element usc umech ucond theta
   138  Al  -0.85342E+04   0.24785E+05   0.00000E+00   0.34707E+03
   139  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
   140  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
   141  Al  -0.90580E+04   0.24261E+05   0.00000E+00   0.34707E+03
   142  Al  -0.91036E+04   0.24215E+05   0.00000E+00   0.34707E+03
   143  Al  -0.10609E+05   0.22710E+05   0.00000E+00   0.34707E+03
   144  Al  -0.10609E+05   0.22709E+05   0.00000E+00   0.34707E+03
   145  Al  -0.91372E+04   0.24182E+05   0.00000E+00   0.34707E+03
   146  Al  -0.87286E+04   0.24590E+05   0.00000E+00   0.34707E+03
   147  Al  -0.10609E+05   0.22710E+05   0.00000E+00   0.34707E+03
   148  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
   149  Al  -0.87265E+04   0.24592E+05   0.00000E+00   0.34707E+03
   150  Al  -0.81831E+04   0.25136E+05   0.00000E+00   0.34707E+03
   151  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
   152  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
   153  Al  -0.87265E+04   0.24592E+05   0.00000E+00   0.34707E+03
   154  Al  -0.87286E+04   0.24590E+05   0.00000E+00   0.34707E+03
   155  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
   156  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
   157  Al  -0.91372E+04   0.24182E+05   0.00000E+00   0.34707E+03
   158  Al  -0.91036E+04   0.24215E+05   0.00000E+00   0.34707E+03
   159  Al  -0.10609E+05   0.22710E+05   0.00000E+00   0.34707E+03
   160  Al  -0.10609E+05   0.22709E+05   0.00000E+00   0.34707E+03
   161  Al  -0.90580E+04   0.24261E+05   0.00000E+00   0.34707E+03
   162  Al  -0.85342E+04   0.24785E+05   0.00000E+00   0.34707E+03
   163  Al  -0.10609E+05   0.22710E+05   0.00000E+00   0.34707E+03
