ITEM: TIMESTEP
     0
ITEM: NUMBER OF ATOMS
 26040
ITEM: BOX BOUNDS pp pp pp
 -0.29999E+02   0.29999E+02
 -0.29999E+02   0.29999E+02
 -0.69741E+02   0.69741E+02
ITEM: ATOMS id element x y z vx vy vz fx fy fz
    52  Al   0.20000E+02  -0.29999E+02  -0.67741E+02   0.35154E+01   0.19417E+01  -0.26922E+00  -0.52142E+01  -0.93062E+01  -0.90964E+03
    53  Al   0.21999E+02  -0.29999E+02  -0.69741E+02  -0.23075E+00  -0.11349E+01   0.32935E+01  -0.86524E+02   0.68531E+03  -0.75514E+03
    54  Al   0.23999E+02  -0.27999E+02  -0.69741E+02   0.55793E+00   0.18940E+01  -0.38767E+01   0.58020E+03   0.31175E+03   0.16894E+04
    55  Al   0.21999E+02  -0.27999E+02  -0.67741E+02  -0.20439E+01   0.33546E+01  -0.32491E+01  -0.24996E+01  -0.45243E+01  -0.88878E+03
    56  Al   0.23999E+02  -0.29999E+02  -0.67741E+02   0.23406E+01  -0.41827E+01  -0.47242E+00   0.35902E+01  -0.11827E+02  -0.90601E+03
    57  Al   0.25999E+02  -0.29999E+02  -0.69741E+02   0.20328E+00  -0.21942E+01  -0.97746E+00   0.33837E+03   0.36198E+03  -0.16424E+04
    58  Al   0.27999E+02  -0.27999E+02  -0.69741E+02   0.20507E+01   0.48334E+00  -0.15536E+01   0.50914E+03   0.88645E+02  -0.17077E+04
    59  Al   0.25999E+02  -0.27999E+02  -0.67741E+02   0.72224E+00  -0.16652E+00  -0.47606E+01   0.11802E+02  -0.27646E+01  -0.90798E+03
    60  Al   0.27999E+02  -0.29999E+02  -0.67741E+02   0.17570E+00   0.29908E+01  -0.28775E+01   0.42004E+01   0.30513E-01  -0.92215E+03
    61  Al  -0.29999E+02  -0.25999E+02  -0.69741E+02   0.51265E+00  -0.43189E+01  -0.27921E+01  -0.12070E-10  -0.10271E+03  -0.24141E+04
